short,long,trend,rsi_b,rsi_s,cp,tp,sl,train_sharpe,test_sharpe,test_wr%,test_pnl,test_dd%,test_n,pass
20,100,200,55,45,2,0.08,0.01,1.07,-1.13,20.0,-3.83,-0.44,5,no
20,100,200,55,45,2,0.03,0.01,1.03,-0.57,20.0,-2.62,-0.44,5,no
20,100,200,55,45,2,0.05,0.01,0.89,-0.11,20.0,-0.71,-0.44,5,no
10,50,200,55,45,2,0.03,0.01,0.84,-1.48,16.7,-10.87,-1.64,12,no
10,50,200,55,45,2,0.05,0.01,0.83,-1.73,16.7,-12.37,-1.64,12,no
20,100,200,55,45,2,0.08,0.02,0.7,-1.86,20.0,-8.64,-0.83,5,no
10,50,200,55,45,2,0.08,0.01,0.56,-4.48,16.7,-16.56,-1.64,12,no
20,100,200,55,45,2,0.08,0.03,0.49,0.04,40.0,0.51,-0.74,5,no
20,100,200,55,45,2,0.03,0.02,0.46,-1.27,20.0,-7.43,-0.83,5,no
20,100,200,55,45,2,0.05,0.02,0.45,-0.72,20.0,-5.53,-0.83,5,no
