short_window,long_window,trend_window,rsi_buy,rsi_sell,cross_persist,tp_pct,sl_pct,use_vol_filter,trades,win_rate,total_pnl,final_portf,sharpe,max_drawdown,avg_candles
20,50,100,55,45,2,0.08,0.03,False,30,30.0,-17.0,983.0,-0.83,-1.92,66.3
20,50,200,55,45,2,0.05,0.03,False,27,44.4,-14.2,985.8,-0.88,-2.3,66.0
20,50,100,55,45,2,0.08,0.02,False,30,23.3,-17.53,982.47,-0.9,-1.8,54.0
20,50,200,55,45,2,0.05,0.02,False,28,35.7,-14.61,985.39,-0.94,-2.21,51.7
50,100,200,55,45,2,0.03,0.03,False,29,41.4,-16.23,983.77,-1.01,-2.01,53.0
20,50,100,55,45,2,0.05,0.01,False,30,20.0,-14.33,985.67,-1.25,-1.58,38.4
50,100,200,55,45,2,0.03,0.02,False,30,33.3,-20.93,979.07,-1.4,-2.12,36.4
20,50,100,55,45,2,0.05,0.03,False,30,30.0,-25.68,974.32,-1.6,-2.25,63.9
20,50,100,55,45,2,0.05,0.02,False,30,23.3,-26.21,973.79,-1.76,-2.46,51.6
50,100,200,55,45,2,0.03,0.01,False,30,23.3,-20.45,979.55,-1.85,-2.09,23.4
