short_window,long_window,trend_window,rsi_buy,rsi_sell,cross_persist,tp_pct,sl_pct,use_vol_filter,max_candles,trades,win_rate,total_pnl,final_portf,sharpe,max_drawdown,avg_candles
10,100,200,55,45,2,0.03,0.03,False,96,67,35.8,-12.72,987.28,-0.86,-2.2,81.6
10,100,200,55,45,2,0.03,0.03,False,384,66,40.9,-19.83,980.17,-0.86,-4.51,165.3
10,100,200,55,45,2,0.05,0.03,False,96,67,34.3,-13.45,986.55,-0.87,-2.1,86.7
10,50,200,55,45,2,0.08,0.01,False,192,115,23.5,-21.57,978.43,-0.88,-2.7,98.8
20,100,200,55,45,2,0.08,0.03,False,384,51,33.3,-24.75,975.25,-0.89,-4.01,248.7
10,50,200,55,45,2,0.03,0.02,False,384,109,37.6,-22.98,977.02,-0.9,-4.2,142.7
20,100,200,55,45,2,0.08,0.03,False,192,55,40.0,-22.77,977.23,-0.93,-3.35,161.5
50,100,200,55,45,2,0.03,0.02,False,192,72,40.3,-19.07,980.93,-0.96,-3.11,110.6
50,100,200,55,45,2,0.03,0.03,False,192,72,43.1,-21.99,978.01,-0.99,-3.28,129.1
50,100,200,55,45,2,0.03,0.01,False,96,74,35.1,-13.61,986.39,-0.99,-1.67,59.5
20,50,100,55,45,2,0.08,0.03,False,384,112,32.1,-38.78,961.22,-1.05,-6.23,208.6
10,100,200,55,45,2,0.08,0.03,False,192,65,33.8,-24.49,975.51,-1.06,-4.4,152.9
50,100,200,55,45,2,0.03,0.02,False,96,74,39.2,-16.93,983.07,-1.06,-2.29,72.5
20,100,200,55,45,2,0.05,0.02,False,192,55,34.5,-22.4,977.6,-1.07,-3.13,126.5
10,50,100,55,45,2,0.03,0.02,False,384,124,36.3,-26.87,973.13,-1.08,-4.23,134.7
10,100,200,55,45,2,0.08,0.02,False,192,65,29.2,-24.23,975.77,-1.09,-4.1,128.4
20,50,200,55,45,2,0.03,0.01,False,96,124,31.5,-20.08,979.92,-1.13,-1.96,59.9
10,100,200,55,45,2,0.08,0.02,False,96,67,32.8,-17.7,982.3,-1.14,-2.5,79.6
20,50,100,55,45,2,0.08,0.02,False,384,117,26.5,-38.19,961.81,-1.14,-5.17,159.2
10,100,200,55,45,2,0.05,0.01,False,192,66,22.7,-19.2,980.8,-1.16,-2.92,88.4
20,100,200,55,45,2,0.05,0.03,False,192,55,40.0,-26.23,973.77,-1.17,-3.45,151.8
20,50,200,55,45,2,0.08,0.02,False,384,106,25.5,-42.1,957.9,-1.18,-4.21,177.8
20,100,200,55,45,2,0.05,0.02,False,384,54,31.5,-26.29,973.71,-1.18,-3.66,171.6
20,50,100,55,45,2,0.08,0.01,False,384,125,16.0,-33.97,966.03,-1.18,-4.48,100.2
10,100,200,55,45,2,0.05,0.02,False,96,67,32.8,-18.05,981.95,-1.18,-2.43,78.6
10,100,200,55,45,2,0.03,0.02,False,96,67,34.3,-17.31,982.69,-1.19,-2.63,73.5
10,50,100,55,45,2,0.08,0.02,False,384,120,33.3,-33.46,966.54,-1.2,-4.16,183.2
50,100,200,55,45,2,0.03,0.03,False,96,74,41.9,-21.61,978.39,-1.21,-2.66,80.1
10,50,200,55,45,2,0.08,0.02,False,192,110,32.7,-33.14,966.86,-1.22,-4.42,129.6
10,50,200,55,45,2,0.05,0.03,False,384,104,36.5,-38.89,961.11,-1.23,-5.34,203.3
20,50,200,55,45,2,0.08,0.03,False,96,120,33.3,-30.74,969.26,-1.24,-3.13,86.1
20,50,100,55,45,2,0.03,0.03,False,384,118,39.0,-36.86,963.14,-1.28,-4.96,159.4
20,50,100,55,45,2,0.08,0.02,False,192,125,31.2,-38.3,961.7,-1.3,-4.72,112.9
20,50,100,55,45,2,0.08,0.01,False,96,133,24.8,-28.47,971.53,-1.31,-3.15,58.4
10,50,200,55,45,2,0.03,0.03,False,384,108,40.7,-38.72,961.28,-1.34,-5.69,166.7
20,50,200,55,45,2,0.05,0.03,False,96,121,33.9,-31.9,968.1,-1.37,-3.24,83.9
10,50,200,55,45,2,0.05,0.01,False,96,123,30.9,-25.71,974.29,-1.4,-2.7,63.4
10,100,200,55,45,2,0.03,0.01,False,192,66,25.8,-19.84,980.16,-1.4,-3.01,75.2
10,50,100,55,45,2,0.05,0.02,False,384,123,32.5,-38.12,961.88,-1.41,-4.36,166.6
20,100,200,55,45,2,0.05,0.03,False,384,53,34.0,-35.33,964.67,-1.41,-4.46,223.2
10,50,200,55,45,2,0.05,0.02,False,96,120,37.5,-31.24,968.76,-1.44,-3.22,77.0
10,100,200,55,45,2,0.08,0.01,False,96,67,26.9,-18.81,981.19,-1.45,-2.61,61.5
