type,timestamp,price,btc_amount,pct_per_trade,cash_in,cash_out
buy,2017-09-15 14:45:00,3780.0,0.006958287225918328,0.05,26.30232571397128,
sell,2017-09-16 10:45:00,3480.0,0.00595476314396667,0.05,,20.72257574100401
buy,2017-09-16 20:45:00,3662.13,0.007106066200632668,0.05,26.023338215322912,
sell,2017-09-17 03:30:00,3604.95,0.006012328296799971,0.05,,21.674142893549053
buy,2017-09-17 14:30:00,3649.98,0.007070142425228143,0.05,25.805878449234218,
sell,2017-09-18 19:45:00,3969.48,0.006065219003221379,0.05,,24.0757655289072
buy,2017-09-19 00:00:00,4050.0,0.006350462420547622,0.05,25.71937280321787,
sell,2017-09-19 03:45:00,3971.02,0.006079481174087692,0.05,,24.141741331925704
buy,2017-09-19 12:15:00,4010.0,0.0063941374637539305,0.05,25.64049122965326,
sell,2017-09-19 19:00:00,3930.22,0.006095213988571004,0.05,,23.95553192216153
buy,2017-09-20 07:30:00,3979.9,0.006421327989215476,0.05,25.556243264278674,
sell,2017-09-20 23:15:00,3921.06,0.0061115196886032275,0.05,,23.963635390194572
buy,2017-09-21 10:45:00,3871.48,0.006580587493820055,0.05,25.476612870574467,
sell,2017-09-21 13:45:00,3856.67,0.006134973078864069,0.05,,23.66056662406269
buy,2017-09-22 04:00:00,3697.98,0.006864777678151012,0.05,25.385810558248878,
sell,2017-09-22 10:30:00,3589.64,0.006171463308828416,0.05,,22.153331551902834
buy,2017-09-22 21:45:00,3624.21,0.006959913086695191,0.05,25.22418660793158,
sell,2017-09-23 19:15:00,3734.73,0.006210885797721755,0.05,,23.19598151532537
buy,2017-09-24 00:00:00,3773.03,0.006658514868236209,0.05,25.122776353301266,
sell,2017-09-24 01:45:00,3767.47,0.006233267251247478,0.05,,23.483647371057337
buy,2017-09-24 02:15:00,3759.21,0.006661192086685518,0.05,25.040819904189068,
sell,2017-09-24 04:45:00,3672.66,0.00625466349301938,0.05,,22.971252424272556
buy,2017-09-24 15:00:00,3675.65,0.0067844711901822105,0.05,24.937341530193244,
sell,2017-09-24 20:30:00,3650.71,0.006281153877877522,0.05,,22.93067127350625
buy,2017-09-25 02:30:00,3750.02,0.0066231668144060285,0.05,24.837008017358894,
sell,2017-09-26 05:30:00,3851.01,0.0062982545247039475,0.05,,24.25464115718015
buy,2017-09-26 11:45:00,3949.45,0.006281353017344177,0.05,24.80788967434996,
sell,2017-09-26 18:15:00,3900.0,0.0062974094493359585,0.05,,24.559896852410237
buy,2017-09-27 03:45:00,3947.0,0.006282110472068146,0.05,24.795490033252975,
sell,2017-09-28 12:45:00,4189.02,0.006296644500472568,0.05,,26.376769745369597
buy,2017-09-29 01:00:00,4197.0,0.005926746251812914,0.05,24.874554018858802,
sell,2017-09-29 03:15:00,4047.43,0.006278149588039585,0.05,,25.410370987119055
buy,2017-09-29 11:30:00,4200.0,0.005928891635064718,0.05,24.901344867271817,
sell,2017-09-29 21:30:00,4214.95,0.006260686690390842,0.05,,26.38848136566288
buy,2017-09-30 03:00:00,4200.0,0.005946595640997945,0.05,24.975701692191368,
sell,2017-10-01 02:30:00,4316.06,0.0062449821379211975,0.05,,26.953717606196165
buy,2017-10-01 11:15:00,4358.99,0.005752388165123483,0.05,25.07460248789161,
sell,2017-10-01 13:45:00,4265.0,0.006220352439281311,0.05,,26.529803153534793
buy,2017-10-01 20:45:00,4338.51,0.00579631314003512,0.05,25.14736252117377,
sell,2017-10-02 15:15:00,4435.0,0.006199150474319001,0.05,,27.49323235360477
buy,2017-10-03 04:45:00,4400.06,0.005741888977149247,0.05,25.264656012795317,
sell,2017-10-03 05:30:00,4313.5,0.006176287399460514,0.05,,26.641415697572928
buy,2017-10-03 19:00:00,4277.0,0.005923192423903249,0.05,25.333493997034196,
sell,2017-10-04 10:15:00,4200.0,0.0061636326506826515,0.05,,25.887257132867138
buy,2017-10-04 23:30:00,4197.01,0.006042678514901285,0.05,25.361182153825844,
sell,2017-10-05 05:15:00,4125.0,0.006157584943893583,0.05,,25.40003789356103
buy,2017-10-05 11:45:00,4226.05,0.006001614969253228,0.05,25.363124940812604,
sell,2017-10-06 03:15:00,4300.0,0.006149786445161565,0.05,,26.444081714194727
buy,2017-10-06 06:15:00,4375.0,0.005809639492452962,0.05,25.41717277948171,
sell,2017-10-06 16:30:00,4380.0,0.006132779097526134,0.05,,26.86157244716447
buy,2017-10-07 01:00:00,4391.96,0.005803648658654871,0.05,25.489392762865847,
sell,2017-10-07 08:30:00,4330.23,0.006116322575582572,0.05,,26.485083506464917
buy,2017-10-07 17:00:00,4359.99,0.005857622907402494,0.05,25.5391773000458,
sell,2017-10-09 07:15:00,4572.0,0.006103387592173568,0.05,,27.904688071417553
buy,2017-10-09 13:45:00,4634.99,0.005535600473488484,0.05,25.65745283861439,
sell,2017-10-10 08:15:00,4755.46,0.006074998236239314,0.05,,28.88941111250661
buy,2017-10-10 13:45:00,4850.0,0.005323515619032783,0.05,25.819050752309,
sell,2017-10-10 23:45:00,4783.06,0.006037424105378987,0.05,,28.877361741474022
buy,2017-10-11 09:15:00,4824.34,0.005383527342966551,0.05,25.97196630176725,
sell,2017-10-11 16:00:00,4844.49,0.006004729267258366,0.05,,29.08985088794048
buy,2017-10-11 17:45:00,4840.65,0.005397593408132361,0.05,26.12786053107591,
sell,2017-10-12 01:30:00,4844.0,0.005974372474302066,0.05,,28.939860265519208
buy,2017-10-12 02:30:00,4877.53,0.005385607165470653,0.05,26.268460517798076,
sell,2017-10-13 13:30:00,5622.0,0.0059449342088604955,0.05,,33.42242012221371
buy,2017-10-13 15:30:00,5764.02,0.00461937302403858,0.05,26.626158498018857,
sell,2017-10-13 20:30:00,5619.99,0.0058786561496194,0.05,,33.03798877429953
buy,2017-10-14 04:00:00,5713.29,0.004716503102736407,0.05,26.94675001183289,
sell,2017-10-14 09:15:00,5602.03,0.0058205484972752505,0.05,,32.60688729819087
buy,2017-10-14 11:30:00,5747.99,0.004737265874879878,0.05,27.229756876150788,
sell,2017-10-15 07:15:00,5786.02,0.005766384366155482,0.05,,33.364415270262946
buy,2017-10-15 20:15:00,5502.68,0.005004196100056045,0.05,27.536489795856397,
sell,2017-10-16 08:00:00,5638.97,0.0057282749528505105,0.05,,32.301570610875444
buy,2017-10-16 12:30:00,5746.83,0.004833054716531959,0.05,27.774743836607357,
sell,2017-10-16 21:00:00,5700.06,0.005683513941034583,0.05,,32.39637047473359
buy,2017-10-16 22:45:00,5706.12,0.004908032983623489,0.05,28.005825168513663,
sell,2017-10-17 03:15:00,5607.99,0.005644739893164028,0.05,,31.655644873464936
buy,2017-10-17 20:15:00,5633.85,0.005003384213949825,0.05,28.188316153761225,
sell,2017-10-18 00:30:00,5521.0,0.005612672109203319,0.05,,30.987562714911526
buy,2017-10-18 19:00:00,5373.03,0.0052723097547973385,0.05,28.328278481818742,
sell,2017-10-19 19:45:00,5609.0,0.00559565399148302,0.05,,31.38602323822826
buy,2017-10-19 23:45:00,5683.9,0.005010849191512732,0.05,28.48116571963922,
sell,2017-10-20 06:30:00,5639.99,0.005566413751484506,0.05,,31.394517894235097
buy,2017-10-20 14:00:00,5689.94,0.005031130965944987,0.05,28.626833328369017,
sell,2017-10-21 18:00:00,6009.97,0.00553964961220753,0.05,,33.29312797987889
buy,2017-10-22 15:45:00,5970.27,0.004833977033022712,0.05,28.86014806094451,
sell,2017-10-22 23:45:00,5950.02,0.005504365983248289,0.05,,32.75108768764699
buy,2017-10-23 00:45:00,5945.01,0.004887240735050005,0.05,29.054695042279633,
sell,2017-10-23 08:15:00,5849.83,0.005473509720838376,0.05,,32.01910137025195
buy,2017-10-23 20:00:00,5925.06,0.004928712174843504,0.05,29.202915358678254,
sell,2017-10-24 02:30:00,5622.21,0.005446269843538631,0.05,,30.62007277704133
buy,2017-10-24 18:45:00,5679.95,0.005153878683720174,0.05,29.2737732295964,
sell,2017-10-24 21:30:00,5483.05,0.005431650285547709,0.05,,29.782010098172368
buy,2017-10-25 08:15:00,5650.0,0.005185696473101805,0.05,29.2991850730252,
sell,2017-10-25 14:30:00,5490.88,0.005419352594925414,0.05,,29.757014776424057
buy,2017-10-25 20:15:00,5598.01,0.005237946441359544,0.05,29.322076558195143,
sell,2017-10-26 21:45:00,5765.01,0.005410282287247121,0.05,,31.190331488802524
buy,2017-10-27 02:15:00,5939.89,0.004952194283854669,0.05,29.41548930472551,
sell,2017-10-27 07:30:00,5855.11,0.005387377887077498,0.05,,31.543690140406326
buy,2017-10-28 00:30:00,5834.97,0.005059477486004135,0.05,29.52189934650955,
sell,2017-10-28 07:00:00,5780.0,0.00537098286702383,0.05,,31.04428097139774
buy,2017-10-28 10:30:00,5766.53,0.005132725994272805,0.05,29.598018427753956,
sell,2017-10-28 10:45:00,5734.04,0.0053590700233862795,0.05,,30.729121876897864
buy,2017-10-28 21:00:00,5729.0,0.005176221609392765,0.05,29.654573600211155,
sell,2017-10-29 02:00:00,5648.01,0.005349927602686604,0.05,,30.216444599249964
buy,2017-10-29 05:45:00,5747.93,0.0051640620449732505,0.05,29.682667150163095,
sell,2017-10-30 15:30:00,6055.57,0.0053406343248009365,0.05,,32.3405849982348
buy,2017-10-31 00:00:00,6121.15,0.0048709087414238635,0.05,29.81556304256668,
sell,2017-10-31 10:30:00,6155.06,0.005317148045632082,0.05,,32.7273652497482
buy,2017-10-31 11:45:00,6223.33,0.0048143282057878595,0.05,29.961153152925757,
sell,2017-11-01 08:30:00,6472.76,0.005292007053639872,0.05,,34.253891576518015
buy,2017-11-01 09:15:00,6500.03,0.004642407815672447,0.05,30.175790074105375,
sell,2017-11-02 16:15:00,6985.13,0.005259527091741501,0.05,,36.738480474336306
buy,2017-11-02 16:30:00,6911.03,0.004413802948926125,0.05,30.503924594116917,
sell,2017-11-02 18:15:00,6890.02,0.005217240884600732,0.05,,35.94689403971674
buy,2017-11-02 22:15:00,7070.98,0.00435244804346737,0.05,30.776073066396908,
sell,2017-11-03 17:45:00,7270.02,0.005174001242544063,0.05,,37.61509251332019
buy,2017-11-03 18:15:00,7295.02,0.004265653012430819,0.05,31.118024038743073,
sell,2017-11-03 20:45:00,7190.02,0.0051285838310384,0.05,,36.87462031684272
buy,2017-11-04 07:15:00,7151.03,0.00439179444816314,0.05,31.405853852648058,
sell,2017-11-05 21:45:00,7324.28,0.005091744361894638,0.05,,37.293361394937655
buy,2017-11-06 10:30:00,7297.64,0.0043439014845569985,0.05,31.700229229762535,
