short_window,long_window,trend_window,rsi_buy,rsi_sell,cross_persist,tp_pct,sl_pct,use_vol_filter,trades,win_rate,total_pnl,final_portf,sharpe,max_drawdown,avg_candles
20,100,200,55,45,1,0.03,0.03,True,30,40.0,-224.09,775.91,-2.08,-21.53,78.9
20,50,200,55,45,1,0.08,0.03,True,74,32.4,-359.29,640.71,-2.09,-36.38,88.5
20,50,200,55,45,1,0.05,0.02,True,74,32.4,-359.58,640.42,-2.09,-36.41,79.3
20,50,100,55,45,1,0.08,0.03,True,72,36.1,-381.22,618.78,-2.15,-38.7,84.4
50,100,200,55,45,1,0.03,0.03,True,41,34.1,-278.3,721.7,-2.15,-25.32,78.6
20,50,200,55,45,1,0.08,0.02,True,74,32.4,-378.48,621.52,-2.26,-38.31,80.3
20,100,200,55,45,1,0.05,0.02,True,30,36.7,-201.87,798.13,-2.37,-19.23,78.5
20,100,200,55,45,1,0.08,0.02,True,30,36.7,-201.87,798.13,-2.37,-19.23,78.5
20,100,200,55,45,1,0.08,0.03,True,30,36.7,-265.11,734.89,-2.67,-25.34,81.0
20,100,200,55,45,1,0.05,0.03,True,30,36.7,-265.11,734.89,-2.67,-25.34,81.0
