roc_window,smooth_window,trend_window,roc_buy,roc_sell,tp_pct,sl_pct,max_candles,trades,win_rate,total_pnl,final_portf,sharpe,max_drawdown,avg_candles
5,3,200,3.0,-2.0,0.03,0.02,384,82,48.8,24.96,1024.96,0.96,-1.81,88.9
5,3,200,3.0,-2.0,0.03,0.02,192,82,50.0,23.36,1023.36,0.94,-1.49,72.6
5,3,200,3.0,-2.0,0.03,0.03,384,79,54.4,18.29,1018.29,0.62,-1.92,112.8
5,3,200,3.0,-2.0,0.03,0.03,192,80,53.8,12.59,1012.59,0.45,-1.8,85.6
5,3,200,3.0,-3.0,0.03,0.02,384,28,50.0,5.01,1005.01,0.31,-0.9,50.2
10,3,200,2.0,-2.0,0.03,0.02,192,180,46.1,10.22,1010.22,0.29,-2.89,80.9
5,3,200,2.0,-2.0,0.03,0.03,192,114,50.9,8.39,1008.39,0.26,-2.59,93.9
10,3,200,2.0,-2.0,0.03,0.03,384,170,50.6,10.25,1010.25,0.25,-3.38,125.9
5,3,200,3.0,-3.0,0.03,0.02,192,28,50.0,3.26,1003.26,0.21,-1.11,46.7
10,3,200,2.0,-2.0,0.03,0.03,192,173,49.1,7.72,1007.72,0.2,-2.58,97.0
10,3,200,2.0,-2.0,0.03,0.02,384,180,44.4,6.72,1006.72,0.18,-2.57,102.3
5,3,200,2.0,-2.0,0.03,0.02,192,120,46.7,4.07,1004.07,0.14,-1.98,76.0
5,3,200,2.0,-2.0,0.03,0.03,384,113,49.6,4.82,1004.82,0.14,-3.2,121.6
10,3,200,2.0,-2.0,0.08,0.02,192,146,37.7,5.05,1005.05,0.12,-4.84,119.5
5,3,200,3.0,-2.0,0.03,0.02,96,84,45.2,2.15,1002.15,0.09,-1.44,52.9
10,3,200,2.0,-2.0,0.08,0.03,384,131,37.4,1.53,1001.53,0.03,-4.09,205.0
5,3,200,2.0,-2.0,0.03,0.02,384,120,43.3,0.61,1000.61,0.02,-2.38,93.8
10,3,200,3.0,-2.0,0.03,0.02,192,133,44.4,-0.25,999.75,-0.01,-1.89,77.9
5,3,200,3.0,-3.0,0.03,0.03,384,28,53.6,-0.7,999.3,-0.04,-1.19,60.7
10,3,200,2.0,-2.0,0.08,0.03,192,140,40.0,-3.1,996.9,-0.07,-4.51,135.2
10,3,200,3.0,-2.0,0.03,0.02,384,133,43.6,-2.71,997.29,-0.08,-2.11,98.4
5,3,200,3.0,-3.0,0.03,0.03,192,28,53.6,-1.43,998.57,-0.08,-1.4,56.8
5,3,200,3.0,-2.0,0.03,0.03,96,83,48.2,-2.08,997.92,-0.08,-1.61,60.1
10,3,200,2.0,-3.0,0.03,0.03,192,116,49.1,-3.43,996.57,-0.1,-3.54,105.1
5,3,200,2.0,-3.0,0.03,0.03,96,66,48.5,-2.58,997.42,-0.11,-2.54,63.7
5,3,200,3.0,-3.0,0.03,0.02,96,28,46.4,-2.17,997.83,-0.14,-1.65,37.5
10,3,200,3.0,-2.0,0.03,0.03,384,126,50.8,-5.68,994.32,-0.16,-2.73,113.0
5,3,200,3.0,-3.0,0.03,0.03,96,28,50.0,-3.29,996.71,-0.19,-1.59,44.9
10,3,200,2.0,-2.0,0.08,0.02,384,142,31.7,-9.49,990.51,-0.21,-5.17,171.2
5,3,200,2.0,-2.0,0.03,0.03,96,118,47.5,-6.14,993.86,-0.21,-2.04,64.4
5,3,200,2.0,-2.0,0.03,0.02,96,122,44.3,-6.09,993.91,-0.22,-2.13,54.7
10,3,200,2.0,-2.0,0.05,0.03,192,153,41.2,-10.51,989.49,-0.25,-3.82,124.4
10,3,200,2.0,-3.0,0.05,0.03,192,106,42.5,-9.02,990.98,-0.26,-3.99,127.5
5,3,200,3.0,-2.0,0.08,0.03,384,62,35.5,-9.84,990.16,-0.29,-2.49,215.3
5,3,200,3.0,-2.0,0.05,0.02,192,73,39.7,-7.73,992.27,-0.3,-2.02,104.2
5,3,200,3.0,-2.0,0.08,0.02,384,66,28.8,-9.81,990.19,-0.31,-2.63,175.5
5,3,200,3.0,-2.0,0.05,0.02,384,71,33.8,-9.04,990.96,-0.32,-2.17,142.3
5,3,200,2.0,-3.0,0.03,0.03,192,64,48.4,-7.84,992.16,-0.32,-2.45,94.9
10,3,200,3.0,-2.0,0.08,0.02,192,108,35.2,-13.77,986.23,-0.4,-3.64,115.6
10,3,200,3.0,-2.0,0.03,0.03,192,128,47.7,-14.58,985.42,-0.42,-2.35,89.3
5,3,200,3.0,-3.0,0.05,0.03,192,26,42.3,-8.44,991.56,-0.44,-1.85,103.8
10,3,200,2.0,-2.0,0.05,0.02,192,163,37.4,-18.28,981.72,-0.47,-5.11,106.7
5,3,200,2.0,-3.0,0.03,0.02,96,66,43.9,-10.41,989.59,-0.49,-2.84,49.6
5,3,200,2.0,-2.0,0.08,0.02,384,99,29.3,-19.02,980.98,-0.5,-3.47,171.6
5,3,200,2.0,-2.0,0.08,0.03,384,94,34.0,-20.31,979.69,-0.5,-4.23,207.8
5,3,200,3.0,-3.0,0.05,0.03,96,26,42.3,-9.2,990.8,-0.51,-1.73,67.2
10,3,200,3.0,-2.0,0.08,0.03,384,97,36.1,-24.06,975.94,-0.57,-5.2,203.8
5,3,200,3.0,-2.0,0.08,0.02,192,70,38.6,-15.23,984.77,-0.59,-3.3,116.5
5,3,200,3.0,-2.0,0.05,0.03,384,66,39.4,-18.53,981.47,-0.61,-3.26,184.3
10,3,200,2.0,-2.0,0.03,0.02,96,187,43.9,-21.36,978.64,-0.64,-3.87,59.1
10,3,200,2.0,-3.0,0.03,0.03,384,113,48.7,-23.15,976.85,-0.65,-5.61,138.0
10,3,200,3.0,-2.0,0.03,0.02,96,137,44.5,-19.59,980.41,-0.67,-3.61,56.0
10,3,200,3.0,-2.0,0.08,0.02,384,104,28.8,-25.93,974.07,-0.67,-4.6,169.5
5,3,200,2.0,-3.0,0.03,0.03,384,64,46.9,-19.1,980.9,-0.7,-2.77,119.0
10,3,200,2.0,-2.0,0.03,0.03,96,180,47.2,-25.4,974.6,-0.71,-4.04,67.9
5,3,200,2.0,-3.0,0.05,0.03,96,64,42.2,-16.3,983.7,-0.72,-2.04,77.9
5,3,200,3.0,-3.0,0.05,0.03,384,26,34.6,-14.64,985.36,-0.72,-2.36,152.9
5,3,200,2.0,-3.0,0.03,0.02,192,66,43.9,-16.11,983.89,-0.72,-2.48,68.2
5,3,200,2.0,-2.0,0.08,0.02,192,103,37.9,-23.95,976.05,-0.73,-4.19,115.2
10,3,200,2.0,-2.0,0.05,0.03,384,147,38.8,-33.26,966.74,-0.74,-5.69,175.2
10,3,200,2.0,-3.0,0.08,0.03,192,100,40.0,-26.05,973.95,-0.75,-5.93,139.7
5,3,200,2.0,-2.0,0.05,0.03,192,102,42.2,-25.54,974.46,-0.76,-3.98,125.3
5,3,200,3.0,-3.0,0.05,0.02,192,27,37.0,-12.66,987.34,-0.77,-1.52,81.8
10,3,200,2.0,-3.0,0.05,0.03,384,100,39.0,-29.34,970.66,-0.77,-5.41,174.6
10,3,200,2.0,-2.0,0.05,0.02,384,157,33.1,-31.31,968.69,-0.77,-5.43,148.2
5,3,200,2.0,-3.0,0.05,0.03,192,61,39.3,-21.25,978.75,-0.77,-4.45,124.3
5,3,200,2.0,-2.0,0.05,0.02,192,109,38.5,-25.81,974.19,-0.82,-3.95,104.2
5,3,200,3.0,-2.0,0.05,0.03,192,70,44.3,-24.28,975.72,-0.85,-3.65,124.1
5,3,200,2.0,-3.0,0.03,0.02,384,66,39.4,-20.33,979.67,-0.86,-3.18,84.7
5,3,200,2.0,-2.0,0.08,0.03,192,97,42.3,-29.28,970.72,-0.87,-4.68,137.5
10,3,200,2.0,-3.0,0.03,0.02,192,121,42.1,-26.51,973.49,-0.9,-4.96,74.3
20,3,200,2.0,-3.0,0.08,0.03,384,134,36.6,-43.66,956.34,-0.93,-6.37,203.0
20,3,200,3.0,-3.0,0.03,0.02,384,121,39.7,-28.45,971.55,-0.94,-4.52,89.6
20,3,200,3.0,-3.0,0.05,0.02,384,111,30.6,-34.0,966.0,-0.95,-5.09,124.5
5,3,200,2.0,-2.0,0.05,0.02,384,107,31.8,-32.2,967.8,-0.95,-5.11,138.8
5,3,200,2.0,-2.0,0.05,0.03,384,99,37.4,-34.34,965.66,-0.95,-5.45,178.3
20,3,200,3.0,-2.0,0.08,0.03,384,131,33.6,-44.25,955.75,-0.96,-7.53,211.1
20,3,200,3.0,-3.0,0.03,0.02,192,121,41.3,-28.18,971.82,-0.97,-3.67,70.5
20,3,200,3.0,-3.0,0.08,0.02,192,105,33.3,-33.5,966.5,-0.98,-5.39,107.1
5,3,200,3.0,-3.0,0.05,0.02,384,27,29.6,-17.02,982.98,-0.99,-1.78,109.4
20,3,200,2.0,-2.0,0.08,0.03,384,182,31.9,-51.61,948.39,-0.99,-8.4,197.4
10,3,200,2.0,-3.0,0.03,0.03,96,121,43.0,-29.76,970.24,-1.01,-5.11,69.4
20,3,200,3.0,-3.0,0.05,0.02,192,111,35.1,-33.08,966.92,-1.01,-4.84,94.3
20,3,200,2.0,-3.0,0.08,0.03,192,148,38.5,-45.29,954.71,-1.01,-6.66,135.9
20,3,200,2.0,-3.0,0.08,0.02,192,161,33.5,-42.03,957.97,-1.02,-7.06,112.2
5,3,200,3.0,-2.0,0.08,0.03,192,67,43.3,-29.53,970.47,-1.04,-3.95,136.3
10,3,200,3.0,-2.0,0.08,0.03,192,103,35.9,-38.95,961.05,-1.06,-5.75,130.7
20,3,200,2.0,-3.0,0.05,0.03,384,149,36.2,-48.6,951.4,-1.06,-6.39,171.7
10,3,200,2.0,-3.0,0.08,0.03,384,93,33.3,-42.61,957.39,-1.07,-6.8,206.8
20,3,200,3.0,-3.0,0.08,0.03,384,92,32.6,-43.5,956.5,-1.09,-5.17,198.3
5,3,200,3.0,-3.0,0.05,0.02,96,27,37.0,-17.1,982.9,-1.13,-1.97,56.0
10,3,200,3.0,-2.0,0.03,0.03,96,134,47.0,-36.51,963.49,-1.13,-4.83,64.7
20,3,200,2.0,-3.0,0.05,0.02,384,163,30.7,-48.03,951.97,-1.15,-6.5,139.7
20,3,200,3.0,-3.0,0.03,0.03,384,113,46.0,-40.87,959.13,-1.18,-4.73,118.1
10,3,200,2.0,-3.0,0.03,0.02,384,121,38.8,-37.09,962.91,-1.21,-6.43,90.7
10,3,200,3.0,-3.0,0.03,0.03,192,67,43.3,-31.88,968.12,-1.23,-4.37,82.3
20,3,200,3.0,-3.0,0.08,0.03,192,98,36.7,-45.48,954.52,-1.24,-6.28,132.6
5,3,200,2.0,-3.0,0.08,0.03,96,63,41.3,-27.72,972.28,-1.24,-3.18,81.7
20,3,200,3.0,-3.0,0.08,0.02,384,101,26.7,-45.78,954.22,-1.25,-5.7,156.3
20,3,200,2.0,-3.0,0.08,0.02,384,146,30.1,-53.08,946.92,-1.25,-7.1,163.8
20,3,200,2.0,-3.0,0.05,0.03,192,161,39.8,-54.74,945.26,-1.27,-7.41,124.5
10,3,200,3.0,-2.0,0.05,0.02,192,119,33.6,-41.34,958.66,-1.28,-5.6,102.5
20,3,200,3.0,-3.0,0.03,0.02,96,121,41.3,-35.25,964.75,-1.28,-4.16,50.7
5,3,200,2.0,-3.0,0.05,0.03,384,60,35.0,-37.89,962.11,-1.29,-4.76,178.9
10,3,200,3.0,-3.0,0.03,0.02,192,69,39.1,-28.92,971.08,-1.3,-4.22,62.1
20,3,200,2.0,-2.0,0.08,0.03,192,205,36.6,-63.61,936.39,-1.31,-10.15,134.4
20,3,200,3.0,-2.0,0.08,0.03,192,145,38.6,-52.89,947.11,-1.31,-7.19,142.2
20,3,200,3.0,-2.0,0.08,0.02,192,156,35.3,-51.29,948.71,-1.33,-7.37,118.8
20,3,200,3.0,-3.0,0.05,0.03,384,103,35.0,-52.62,947.38,-1.34,-6.71,157.8
20,3,200,3.0,-3.0,0.03,0.03,192,114,45.6,-44.16,955.84,-1.36,-4.88,91.2
