roc_window,smooth_window,trend_window,roc_buy,roc_sell,tp_pct,sl_pct,max_candles,trades,win_rate,total_pnl,final_portf,sharpe,max_drawdown,avg_candles
5,3,200,3.0,-3.0,0.03,0.02,384,32,50.0,6.71,1006.71,0.39,-0.84,46.2
5,3,200,3.0,-3.0,0.03,0.02,192,32,50.0,4.95,1004.95,0.3,-1.05,43.1
5,3,200,3.0,-2.0,0.03,0.02,384,91,45.1,5.86,1005.86,0.21,-1.84,82.0
5,3,200,3.0,-2.0,0.03,0.02,192,91,46.2,4.26,1004.26,0.16,-1.52,67.3
5,3,200,3.0,-3.0,0.03,0.03,384,31,54.8,0.88,1000.88,0.04,-1.15,58.4
5,3,200,3.0,-3.0,0.03,0.03,192,31,54.8,0.15,1000.15,0.01,-1.21,54.9
5,3,200,3.0,-2.0,0.03,0.03,384,88,51.1,-0.11,999.89,-0.0,-2.15,105.6
5,3,200,3.0,-3.0,0.03,0.02,96,32,46.9,-0.48,999.52,-0.03,-1.59,35.0
5,3,200,3.0,-3.0,0.03,0.03,96,31,51.6,-1.71,998.29,-0.09,-1.25,44.1
10,3,200,2.0,-2.0,0.03,0.03,384,198,50.5,-5.48,994.52,-0.12,-4.17,123.6
5,3,200,3.0,-2.0,0.08,0.02,384,68,29.4,-4.61,995.39,-0.14,-2.97,171.9
5,3,200,2.0,-3.0,0.03,0.03,96,73,49.3,-3.69,996.31,-0.15,-2.53,63.0
5,3,200,3.0,-2.0,0.08,0.03,384,65,35.4,-7.09,992.91,-0.2,-3.15,207.8
5,3,200,3.0,-2.0,0.08,0.02,192,70,40.0,-5.34,994.66,-0.2,-3.27,116.9
5,3,200,2.0,-3.0,0.03,0.03,192,71,49.3,-7.76,992.24,-0.29,-2.78,92.0
10,3,200,2.0,-2.0,0.03,0.02,192,209,44.0,-11.62,988.38,-0.3,-3.14,80.1
5,3,200,3.0,-2.0,0.03,0.03,192,88,50.0,-9.82,990.18,-0.32,-2.23,81.6
10,3,200,2.0,-3.0,0.03,0.03,192,130,49.2,-11.37,988.63,-0.32,-3.88,103.9
