roc_w,smooth,trend,roc_b,roc_s,tp,sl,train_sharpe,test_sharpe,test_wr%,test_pnl,test_dd%,test_n,pass
5,3,200,3.0,-3.0,0.03,0.02,0.39,0.23,46.2,2.59,-0.51,13,no
5,3,200,3.0,-3.0,0.03,0.02,0.3,0.23,46.2,2.59,-0.51,13,no
5,3,200,3.0,-2.0,0.03,0.02,0.21,-1.05,35.3,-17.9,-2.33,34,no
5,3,200,3.0,-2.0,0.03,0.02,0.16,-1.08,35.3,-17.76,-2.32,34,no
5,3,200,3.0,-3.0,0.03,0.03,0.04,-0.5,41.7,-6.45,-0.71,12,no
5,3,200,3.0,-3.0,0.03,0.03,0.01,-0.53,41.7,-6.82,-0.71,12,no
5,3,200,3.0,-2.0,0.03,0.03,-0.0,-0.5,46.9,-9.99,-2.12,32,no
5,3,200,3.0,-3.0,0.03,0.02,-0.03,0.17,46.2,1.86,-0.69,13,no
5,3,200,3.0,-3.0,0.03,0.03,-0.09,-0.52,41.7,-6.19,-0.91,12,no
10,3,200,2.0,-2.0,0.03,0.03,-0.12,0.43,53.0,12.44,-3.6,83,YES
