short_window,long_window,trend_window,rsi_buy,rsi_sell,cross_persist,tp_pct,sl_pct,use_vol_filter,trades,win_rate,total_pnl,final_portf,sharpe,max_drawdown,avg_candles
20,100,200,55,45,2,0.03,0.03,False,2,100.0,7.64,1007.64,8.75,0.0,12.5
20,100,200,55,45,2,0.03,0.01,False,2,100.0,7.64,1007.64,8.75,0.0,12.5
20,100,200,55,45,2,0.03,0.02,False,2,100.0,7.64,1007.64,8.75,0.0,12.5
10,50,200,55,45,2,0.03,0.03,False,8,75.0,16.52,1016.52,1.54,-0.76,21.6
10,50,200,55,45,2,0.03,0.02,False,8,62.5,12.88,1012.88,1.22,-0.57,12.9
10,100,200,55,45,2,0.08,0.02,False,4,50.0,14.09,1014.09,1.04,-0.24,17.8
10,50,200,55,45,2,0.08,0.02,False,8,50.0,15.86,1015.86,0.99,-0.57,34.1
10,50,200,55,45,2,0.08,0.03,False,8,62.5,15.83,1015.83,0.93,-0.76,47.0
10,50,100,55,45,2,0.03,0.03,False,9,66.7,11.62,1011.62,0.9,-0.79,21.0
10,50,100,55,45,2,0.03,0.02,False,9,55.6,10.14,1010.14,0.88,-0.58,13.1
10,100,200,55,45,2,0.08,0.03,False,4,50.0,11.75,1011.75,0.79,-0.33,18.5
20,100,200,55,45,2,0.08,0.01,False,2,50.0,7.53,1007.53,0.75,-0.12,20.0
20,100,200,55,45,2,0.05,0.01,False,2,50.0,5.35,1005.35,0.68,-0.12,19.0
10,100,200,55,45,2,0.05,0.02,False,4,50.0,5.63,1005.63,0.65,-0.24,16.2
10,50,200,55,45,2,0.03,0.01,False,8,50.0,5.76,1005.76,0.62,-0.58,9.8
10,50,200,55,45,2,0.05,0.02,False,8,50.0,6.58,1006.58,0.56,-0.58,25.2
10,100,200,55,45,2,0.03,0.02,False,4,50.0,4.2,1004.2,0.54,-0.24,16.0
10,100,200,55,45,2,0.08,0.01,False,4,25.0,5.48,1005.48,0.52,-0.26,12.5
10,50,200,55,45,2,0.05,0.03,False,8,62.5,6.55,1006.55,0.51,-0.76,38.1
20,100,200,55,45,2,0.08,0.02,False,2,50.0,5.88,1005.88,0.5,-0.29,27.5
10,50,200,55,45,2,0.08,0.01,False,8,37.5,7.07,1007.07,0.48,-0.58,22.8
10,50,100,55,45,2,0.08,0.01,False,9,33.3,6.62,1006.62,0.45,-0.58,24.2
20,100,200,55,45,2,0.08,0.03,False,2,50.0,5.45,1005.45,0.45,-0.33,30.5
10,50,100,55,45,2,0.03,0.01,False,9,44.4,3.95,1003.95,0.41,-0.58,10.1
20,100,200,55,45,2,0.05,0.02,False,2,50.0,3.7,1003.7,0.39,-0.29,26.5
10,100,200,55,45,2,0.05,0.03,False,4,50.0,3.3,1003.3,0.33,-0.33,17.0
20,100,200,55,45,2,0.05,0.03,False,2,50.0,3.27,1003.27,0.33,-0.33,29.5
10,50,100,55,45,2,0.05,0.02,False,9,44.4,2.72,1002.72,0.22,-0.58,27.0
10,100,200,55,45,2,0.03,0.03,False,4,50.0,1.87,1001.87,0.2,-0.33,16.8
10,50,100,55,45,2,0.05,0.03,False,9,55.6,2.55,1002.55,0.19,-0.79,38.4
10,50,100,55,45,2,0.08,0.02,False,9,33.3,2.78,1002.78,0.18,-0.58,31.2
10,50,100,55,45,2,0.08,0.03,False,9,44.4,2.61,1002.61,0.16,-0.77,42.7
10,100,200,55,45,2,0.05,0.01,False,4,25.0,1.0,1001.0,0.16,-0.26,11.5
10,100,200,55,45,2,0.03,0.01,False,4,25.0,1.0,1001.0,0.16,-0.26,11.5
20,50,100,55,45,2,0.05,0.03,False,7,42.9,0.64,1000.64,0.05,-0.78,21.3
20,50,200,55,45,2,0.05,0.01,False,7,28.6,0.33,1000.33,0.03,-0.61,10.0
10,50,200,55,45,2,0.05,0.01,False,8,37.5,-0.54,999.46,-0.05,-0.58,22.1
10,50,100,55,45,2,0.05,0.01,False,9,33.3,-0.99,999.01,-0.1,-0.58,23.7
20,50,200,55,45,2,0.08,0.01,False,7,14.3,-1.99,998.01,-0.17,-0.61,12.1
20,50,100,55,45,2,0.05,0.01,False,8,25.0,-2.83,997.17,-0.28,-0.61,9.1
20,50,200,55,45,2,0.05,0.02,False,7,28.6,-3.18,996.82,-0.31,-0.88,12.7
20,50,100,55,45,2,0.03,0.03,False,7,42.9,-3.43,996.57,-0.31,-0.78,20.4
20,50,200,55,45,2,0.05,0.03,False,6,33.3,-4.8,995.2,-0.41,-0.79,21.0
20,50,200,55,45,2,0.03,0.01,False,7,28.6,-3.06,996.94,-0.41,-0.61,9.3
20,50,100,55,45,2,0.08,0.01,False,8,12.5,-5.15,994.85,-0.43,-0.69,11.0
20,50,100,55,45,2,0.05,0.02,False,8,25.0,-6.34,993.66,-0.59,-0.88,11.5
20,50,200,55,45,2,0.08,0.02,False,7,14.3,-8.46,991.54,-0.66,-0.88,15.6
20,50,200,55,45,2,0.08,0.03,False,6,16.7,-10.08,989.92,-0.74,-0.79,24.3
20,50,100,55,45,2,0.03,0.01,False,8,25.0,-6.22,993.78,-0.79,-0.62,8.5
20,50,200,55,45,2,0.03,0.02,False,7,28.6,-6.57,993.43,-0.79,-0.88,12.0
20,50,200,55,45,2,0.03,0.03,False,6,33.3,-8.19,991.81,-0.86,-0.79,20.2
20,50,100,55,45,2,0.08,0.02,False,8,12.5,-11.62,988.38,-0.91,-0.99,14.0
20,50,100,55,45,2,0.08,0.03,False,7,14.3,-13.61,986.39,-1.0,-1.14,27.9
20,50,100,55,45,2,0.03,0.02,False,8,25.0,-9.73,990.27,-1.15,-0.88,10.9
50,100,200,55,45,2,0.03,0.01,False,3,0.0,-5.68,994.32,-4.45,-0.3,7.3
50,100,200,55,45,2,0.05,0.01,False,3,0.0,-5.68,994.32,-4.45,-0.3,7.3
50,100,200,55,45,2,0.08,0.01,False,3,0.0,-5.68,994.32,-4.45,-0.3,7.3
50,100,200,55,45,2,0.05,0.03,False,3,0.0,-11.22,988.78,-24.34,-0.76,30.3
50,100,200,55,45,2,0.03,0.03,False,3,0.0,-11.22,988.78,-24.34,-0.76,30.3
50,100,200,55,45,2,0.08,0.03,False,3,0.0,-11.22,988.78,-24.34,-0.76,30.3
50,100,200,55,45,2,0.03,0.02,False,3,0.0,-7.8,992.2,-27.38,-0.51,9.7
50,100,200,55,45,2,0.05,0.02,False,3,0.0,-7.8,992.2,-27.38,-0.51,9.7
50,100,200,55,45,2,0.08,0.02,False,3,0.0,-7.8,992.2,-27.38,-0.51,9.7
